KodeKec;Nama;JumlahDesa;Desa_id;Desa_en;Desa01;Desa02;Desa03;Desa04;Desa05;Desa06;Desa07;Desa08;Desa09;Desa10;Desa11;Desa12;Desa13;Desa14;Desa15;KECAMATAN;@Sekat;@Grafik1;@Grafik2;U301_id;U302_id;U303_id;U301_en;U302_en;U303_en;T611K2B1;T611K2B2;T621K2B1;T621K2B2;T621K2B3;T621K2B4;T631K2B1;T631K2B2;T631K2B3
131;Cikedal;10;Desa;Village;Karyautama;Tegal;Cipicung;Karyasari;Dahu;Babakanlor;Mekarjaya;Padahayu;Bangkuyung;Cening;;;;;;CIKEDAL;D:\KCDA\2025\131\Bab6.PNG;D:\KCDA\2025\131\G061.png;D:\KCDA\2025\131\G062.png;Menurut data terakhir, terdapat 10 jenis industri pengolahan di Kecamatan Cikedal, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kayu, industri pencetakan, industri galian non logam, industri logam non mesin, industri alat angkutan lainnya, industri kerajinan, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 1304 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Cikedal.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Cikedal sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Cikedal adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 10 type of manufacturing industry for micro-small category in  Cikedal District, which are food manufacturing, beverage manufacturing, apparel manufacturing, manufacture of wood and the like, printing manufacturing, non-metallic excavated goods manufacturing, non-machinery metal manufacturing, other transport manufacturing, crafts and other manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 1304 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Cikedal District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Cikedal District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Cikedal District is the 5G/4G/LTE signal. ;–;–;10;–;–;–;1;10;4
140;Menes;12;Desa;Village;Alaswangi;Tegalwangi;Menes;Kananga;Cilabanbulan;Sindangkarya;Cigandeng;Purwaraja;Muruy;Kadupayung;Sukamanah;Ramaya;;;;MENES;D:\KCDA\2025\140\Bab6.PNG;D:\KCDA\2025\140\G061.png;D:\KCDA\2025\140\G062.png;Menurut data terakhir, terdapat 11 jenis industri pengolahan di Kecamatan Menes, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri pencetakan, industri logam non mesin, industri alat angkutan lainnya, industri kerajinan, reparasi dan industri mesin, dan industri pengolahan lainnya, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 79 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Menes.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Menes sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Menes adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 11 type of manufacturing industry for micro-small category in  Menes District, which are food manufacturing, beverage manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, printing manufacturing, non-machinery metal manufacturing, other transport manufacturing, crafts and other manufacturing, machinery and repair manufacturing, dan other manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 79 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Menes District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Menes District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Menes District is the 5G/4G/LTE signal. ;–;1;12;–;–;–;8;12;8
141;Pulosari;9;Desa;Village;Banjarnegara;Kaduhejo;Koranji;Sanghiangdengdek;Cilentung;Karyawangi;Banjarwangi;Sukasari;Sukaraja;;;;;;;PULOSARI;D:\KCDA\2025\141\Bab6.PNG;D:\KCDA\2025\141\G061.png;D:\KCDA\2025\141\G062.png;Menurut data terakhir, terdapat 8 jenis industri pengolahan di Kecamatan Pulosari, yaitu industri makanan, industri tekstil, industri pakaian jadi, industri kayu, industri logam non mesin, industri alat angkutan lainnya, industri kerajinan, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 60 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Pulosari.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Pulosari sudah beroperasi/tersedia layanan dan pos keliling.,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Pulosari adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 8 type of manufacturing industry for micro-small category in  Pulosari District, which are food manufacturing, textile manufacturing, apparel manufacturing, manufacture of wood and the like, non-machinery metal manufacturing, other transport manufacturing, crafts and other manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 60 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Pulosari District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Pulosari District  there is already operating/available service only for  and mobile/roaming post., at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Pulosari District is the 5G/4G/LTE signal. ;–;–;9;–;–;–;–;–;–
150;Mandalawangi;15;Desa;Village;Pandat;Cikoneng;Giripawana;Nembol;Gunungsari;Kurungkambing;Mandalasari;Mandalawangi;Pari;Sinarjaya;Sirnagalih;Curuglemo;Panjangjaya;Cikumbueun;Ramea;MANDALAWANGI;D:\KCDA\2025\150\Bab6.PNG;D:\KCDA\2025\150\G061.png;D:\KCDA\2025\150\G062.png;Menurut data terakhir, terdapat 9 jenis industri pengolahan di Kecamatan Mandalawangi, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri logam non mesin, industri alat angkutan lainnya, reparasi dan industri mesin, dan industri pengolahan lainnya, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 67 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Mandalawangi.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Mandalawangi sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Mandalawangi adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 9 type of manufacturing industry for micro-small category in  Mandalawangi District, which are food manufacturing, beverage manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, non-machinery metal manufacturing, other transport manufacturing, machinery and repair manufacturing, dan other manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 67 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Mandalawangi District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Mandalawangi District  there are already operating/available service of post office/branch post office/postal station, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Mandalawangi District is the 5G/4G/LTE signal. ;1;–;15;–;–;–;1;–;2
160;Cimanuk;11;Desa;Village;Kadudodol;Gunungdatar;Gunungcupu;Sekong;Cimanuk;Batubantar;Rocek;Kadumadang;Dalembalar;Kupahandap;Kadubungbang;;;;;CIMANUK;D:\KCDA\2025\160\Bab6.PNG;D:\KCDA\2025\160\G061.png;D:\KCDA\2025\160\G062.png;Menurut data terakhir, terdapat 8 jenis industri pengolahan di Kecamatan Cimanuk, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri pencetakan, industri logam non mesin, dan industri alat angkutan lainnya, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 40 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sampai tahun 2024 sudah tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Cimanuk dengan trayek tetap.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Cimanuk sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Cimanuk adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 8 type of manufacturing industry for micro-small category in  Cimanuk District, which are food manufacturing, beverage manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, printing manufacturing, non-machinery metal manufacturing, dan other transport manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 40 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Until the year 2024, public transportation facilities have been available in most of villages in the Cimanuk District  with some given routes.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Cimanuk District  there are already operating/available service of post office/branch post office/postal station, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Cimanuk District is the 5G/4G/LTE signal. ;–;1;11;–;–;–;1;–;1
161;Cipeucang;10;Desa;Village;Cikadueun;Koncang;Pasirmae;Parumasan;Kadugadung;Palanyar;Baturanjang;Kalanggunung;Curugbarang;Pasireurih;;;;;;CIPEUCANG;D:\KCDA\2025\161\Bab6.PNG;D:\KCDA\2025\161\G061.png;D:\KCDA\2025\161\G062.png;Menurut data terakhir, terdapat 9 jenis industri pengolahan di Kecamatan Cipeucang, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri logam non mesin, industri alat angkutan lainnya, industri kerajinan, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 71 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Cipeucang.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Cipeucang sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Cipeucang adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 9 type of manufacturing industry for micro-small category in  Cipeucang District, which are food manufacturing, beverage manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, non-machinery metal manufacturing, other transport manufacturing, crafts and other manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 71 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Cipeucang District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Cipeucang District  there are already operating/available service of post office/branch post office/postal station, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Cipeucang District is the 5G/4G/LTE signal. ;–;1;10;–;–;–;–;4;2
170;Banjar;11;Desa;Village;Cibeureum;Cibodas;Kadulimus;Bandung;Kadumaneuh;Citalahab;Pasirawi;Mogana;Kadubale;Banjar;Gunungputri;;;;;BANJAR;D:\KCDA\2025\170\Bab6.PNG;D:\KCDA\2025\170\G061.png;D:\KCDA\2025\170\G062.png;Menurut data terakhir, terdapat 11 jenis industri pengolahan di Kecamatan Banjar, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri pencetakan, industri logam non mesin, industri alat angkutan lainnya, industri kerajinan, reparasi dan industri mesin, dan industri pengolahan lainnya, dengan jenis kegiatan industri utama industri kayu yang tercatat sejumlah 49 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Banjar.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Banjar sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Banjar adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 11 type of manufacturing industry for micro-small category in  Banjar District, which are food manufacturing, beverage manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, printing manufacturing, non-machinery metal manufacturing, other transport manufacturing, crafts and other manufacturing, machinery and repair manufacturing, dan other manufacturing, with the largest number of manufacturing industries is manufacture of wood and the like recorded as 49 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Banjar District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Banjar District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Banjar District is the 5G/4G/LTE signal. ;–;1;11;–;–;–;1;1;2
171;Kaduhejo;10;Desa;Village;Banjarsari;Sukamanah;Palurahan;Kadugemblo;Sukasari;Mandalasari;Saninten;Bayumundu;Campaka;Ciputri;;;;;;KADUHEJO;D:\KCDA\2025\171\Bab6.PNG;D:\KCDA\2025\171\G061.png;D:\KCDA\2025\171\G062.png;Menurut data terakhir, terdapat 9 jenis industri pengolahan di Kecamatan Kaduhejo, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri pencetakan, industri logam non mesin, industri alat angkutan lainnya, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri minuman yang tercatat sejumlah 24 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Kaduhejo.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Kaduhejo sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Kaduhejo adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 9 type of manufacturing industry for micro-small category in  Kaduhejo District, which are food manufacturing, beverage manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, printing manufacturing, non-machinery metal manufacturing, other transport manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is beverage manufacturing recorded as 24 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Kaduhejo District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Kaduhejo District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Kaduhejo District is the 5G/4G/LTE signal. ;–;–;10;–;–;–;1;–;2
172;Mekarjaya;8;Desa;Village;Rancabugel;Wirasinga;Pareang;Kadubelang;Mekarjaya;Kadujangkung;Medong;Sukamulya;;;;;;;;MEKARJAYA;D:\KCDA\2025\172\Bab6.PNG;D:\KCDA\2025\172\G061.png;D:\KCDA\2025\172\G062.png;Menurut data terakhir, terdapat 5 jenis industri pengolahan di Kecamatan Mekarjaya, yaitu industri makanan, industri pakaian jadi, industri kayu, industri logam non mesin, dan industri alat angkutan lainnya, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 28 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Mekarjaya.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Mekarjaya belum tersedia layanan kantor pos/pos pembantu/rumah pos, pos keliling dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Mekarjaya adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 5 type of manufacturing industry for micro-small category in  Mekarjaya District, which are food manufacturing, apparel manufacturing, manufacture of wood and the like, non-machinery metal manufacturing, dan other transport manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 28 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Mekarjaya District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Mekarjaya District  there no available service of post office/branch post office/postal station, mobile/roaming post and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Mekarjaya District is the 5G/4G/LTE signal. ;–;–;8;–;–;–;–;–;–
180;Pandeglang;4;Kelurahan;Subdistrict;Kadomas;Babakan Kalanganyar;Kabayan;Pandeglang;;;;;;;;;;;;PANDEGLANG;D:\KCDA\2025\180\Bab6.PNG;D:\KCDA\2025\180\G061.png;D:\KCDA\2025\180\G062.png;Menurut data terakhir, terdapat 10 jenis industri pengolahan di Kecamatan Pandeglang, yaitu industri makanan, industri minuman, industri tekstil, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri pencetakan, industri galian non logam, industri alat angkutan lainnya, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 30 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar kelurahan di Kecamatan Pandeglang.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Pandeglang sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu kelurahan  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat kelurahan di Kecamatan Pandeglang adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 10 type of manufacturing industry for micro-small category in  Pandeglang District, which are food manufacturing, beverage manufacturing, textile manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, printing manufacturing, non-metallic excavated goods manufacturing, other transport manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 30 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of Subdistrict in the Pandeglang District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Pandeglang District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one Subdistrict Still referring to the latest data, the type of mobile phone internet signal enjoyed by most Subdistrict people in Pandeglang District is the 5G/4G/LTE signal. ;2;–;4;–;–;–;1;2;2
181;Majasari;5;Kelurahan;Subdistrict;Sukaratu;Karaton;Cilaja;Saruni;Pagerbatu;;;;;;;;;;;MAJASARI;D:\KCDA\2025\181\Bab6.PNG;D:\KCDA\2025\181\G061.png;D:\KCDA\2025\181\G062.png;Menurut data terakhir, terdapat 11 jenis industri pengolahan di Kecamatan Majasari, yaitu industri makanan, industri minuman, industri tekstil, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri pencetakan, industri logam non mesin, industri alat angkutan lainnya, reparasi dan industri mesin, dan industri pengolahan lainnya, dengan jenis kegiatan industri utama industri kayu yang tercatat sejumlah 660 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sampai tahun 2024 sudah tersedia sarana transportasi umum pada sebagian besar kelurahan di Kecamatan Majasari dengan trayek tetap.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Majasari sudah beroperasi/tersedia layanan dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu kelurahan  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat kelurahan di Kecamatan Majasari adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 11 type of manufacturing industry for micro-small category in  Majasari District, which are food manufacturing, beverage manufacturing, textile manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, printing manufacturing, non-machinery metal manufacturing, other transport manufacturing, machinery and repair manufacturing, dan other manufacturing, with the largest number of manufacturing industries is manufacture of wood and the like recorded as 660 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Until the year 2024, public transportation facilities have been available in most of Subdistricts in the Majasari District  with some given routes.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Majasari District  there is already operating/available service only for  and private courier/expedition services company, at least in one Subdistrict Still referring to the latest data, the type of mobile phone internet signal enjoyed by most Subdistrict people in Majasari District is the 5G/4G/LTE signal. ;–;1;5;–;–;–;–;–;2
